Reference,,Quantity,,Value,,Footprint,,Datasheet,,Spice_Netlist_Enabled,,Spice_Primitive
AE1,,1,Antenna,Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm,~,,,,,,,
"C1, C3",,2,,100 nf,Capacitors_SMD:C_0805,~,,,,,,
C2,,1,1.0uf,Capacitors_SMD:C_0805,~,,,,,,,
"C4, C5, C6, C7",,4,20pf,Capacitors_SMD:C_0805,,,,~,,,,
"C8, C9",,2,100 uF,Custom_Libraries:CAPAE660X550N,,PANASONIC,,,,,,
D1 D3 ,,2,Pwr_L.E.D,Diodes_SMD:D_0805,,~,,,,,,
D2,,1,IN4007,Diodes_SMD:D_1206,~,Y,D,,,,,
D4,,1,Bat_Low,Diodes_SMD:D_0805,~,,,,,,,
D5,,1,SS14,Diodes_SMD:D_1206,~,,,,,,,
J1,,1,Solar_input,Custom_Libraries:Battery_holder,~,,,,,,,
J2,,1,Battery_input,Custom_Libraries:Battery_holder,~,,,,,,,
J3,,1,Distance /,Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm,~,,,,,,,
J4,,1,Conn_01x06_Female,Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm,~,,,,,,,
J5,,1,Airquality,Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm,~,,,,,,,
L1,,1,Inductor_22uH,Custom_Libraries:IND_1248AS-H-220M=P3,N/A,,,,,,,
Q1,,1,BC547,Custom_Libraries:BC547-SOT23,http://www.fairchildsemi.com/ds/BC/BC547.pdf,,,,,,,
"R1, R8, R9",,3,510 R,Resistors_SMD:R_0805,,,~,,,,,
"R2, R4 ",,2,10K,Resistors_SMD:R_0805,,~,,,,,,
R3,,1,1M,Resistors_SMD:R_0805,~,,,,,,,
R5,,1,LDR,Diodes_THT:D_A-405_P5.08mm_Vertical_AnodeUp,,,,,,,,
SW1,,1,MLL1200S,Custom_Libraries:SW_MLL1200S,1437575-1,,,,,,,
SW2,,1,SW_Push,Buttons_Switches_THT:SW_PUSH_6mm_h5mm,~,,,,,,,
U1,,1,APK2112.K-3.3,TO_SOT_Packages_SMD:SOT-23-5,http://www.advanced-monolithic.com/pdf/ds1117.pdf,,,,,,,
U2,,1,LoRa,Custom_Libraries:LoRa,,,,,,,,
U3,,1,STM32,Custom_Libraries:STM32(LQFP48),,,,,,,,
U4,,1,BME_280,Custom_Libraries:BME280,,,,,,,,
U5,,1,BL8530,Custom_Libraries:SOT89,http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf,,,,,,,
Y1,,1,32.768K,Crystals:Crystal_HC49-4H_Vertical,~,,,,,,,
Y2,,1,8Mhz,Crystals:Crystal_HC49-4H_Vertical,~,,,,,,,
